"tiempos","pvalue_asc","asc","pvalue_dfo","dfo","pvalue_nac","nac"
15,0.637947280519807,"no_sig",0.350200616496208,"no_sig",0.646159924243185,"no_sig"
30,0.360522622857291,"no_sig",0.63105825515496,"no_sig",0.828321068501798,"no_sig"
60,0.339981728244032,"no_sig",0.185331337053711,"no_sig",0.631126264453599,"no_sig"
90,0.956025426124975,"no_sig",0.0679828512980404,"no_sig",0.9459265046194,"no_sig"
120,0.367037481506875,"no_sig",0.198239432510167,"no_sig",0.182858896869801,"no_sig"
