"tiempos","pvalue_asc","asc","pvalue_dfo","dfo","pvalue_nac","nac"
15,0.312202006198098,"no_sig",0.750655536248701,"no_sig",0.643094754428431,"no_sig"
30,0.181955912667844,"no_sig",0.0383773520908523,"sig",0.739011126683864,"no_sig"
60,0.0459267955713312,"sig",0.0688017444546791,"no_sig",0.922949456616941,"no_sig"
90,0.260132573562046,"no_sig",0.0209580826841398,"sig",0.328860880334047,"no_sig"
120,0.535863211008387,"no_sig",0.334793735194509,"no_sig",0.248756342883386,"no_sig"
