"pk_parameter","mean","sd","median","Q1","Q3","shapiro_pvalue"
"V",12.4301714287194,5.9868044162757,12.274093640978,8.54710080157873,13.0866336297295,0.00271501073270223
"Cl",11.3900011722464,6.18872059366942,9.45639937882756,8.03748724984751,12.2564423517594,0.000464154306640529
