"pk_parameter","mean","sd","median","Q1","Q3","shapiro_pvalue"
"V",161.467113272902,116.454111429318,126.840980278359,77.9608691049793,175.839778698952,0.00931686860912721
"Cl",411.628742513532,228.721040062724,350.157732293055,224.347094439263,552.121198959836,0.0606503221257015
